EntryID,Location,SKU_Code,BatchNo,ExpiryDate,UnitType,QtyPerCtn,TotalQty,Comments,DateAdded,LastUpdated
112562,R-10-3,HOLDTBNHC2005C,29211221436,11/2024,PCS,16,344,With Lilial,12/10/2025,
112563,R-10-4,RCTM03,3A5,01/2025,PCS,16,959,,12/10/2025,
112564,R-10-5,RCHC2102,LA,11/2024,PCS,7,252,,12/10/2025,
112565,R-10-6,RCHC2102,LA,11/2024,PCS,7,210,,12/10/2025,
112566,R-11-1,BN403,07504325024,04/2030,PCS,60,"2,357",,12/10/2025,
112567,R-11-2,TBN2109BB,1H25,03/2024,PCS,168,77,,12/10/2025,
112568,R-11-2,TBN2133BO,1H14,08/2024,PCS,272,56,,12/10/2025,
112569,R-11-2,TBN2135E,1I11,10/2025,PCS,168,52,,12/10/2025,
112570,R-11-2,TBN2135L,1H19,01/2026,PCS,168,69,,12/10/2025,
112571,R-11-2,TBN2206FM/V1,2F3,06/2024,PCS,44,952,,12/10/2025,
112572,R-11-2,TBNHC2020HO,1D3,04/2024,PCS,40,13,,12/10/2025,
112573,R-11-3,GD1909,NP,11/2023,PCS,44,615,,12/10/2025,
112574,R-11-3,NS2043/V2,31303521043,03/2024,PCS,25,9,,12/10/2025,
112575,R-11-3,NS2044/V2,12402321144,02/2024,PCS,25,10,,12/10/2025,
112576,R-11-4,RCHC2102,LA,11/2024,PCS,7,189,,12/10/2025,
112577,R-11-5,RCHC2102,LA,11/2024,PCS,7,121,,12/10/2025,
112578,R-11-6,RCHC2102,LA,11/2024,PCS,7,32,,12/10/2025,
112579,R-1-1,BN2521,2808252521,07/2028,PCS,12,6,,12/10/2025,
112580,R-12-2,BN2118,IR,07/2026,PCS,400,92,,12/10/2025,
112581,R-12-2,TBN1905S,30,08/2024,PCS,195,44,,12/10/2025,
112582,R-12-2,TBN2009BL,34,08/2025,PCS,156,51,,12/10/2025,
112583,R-12-2,TBN2125L,01,09/2024,PCS,255,21,,12/10/2025,
112584,R-12-2,TBN2125LB/V2,29,07/2025,PCS,255,336,,12/10/2025,
112585,R-12-2,TBN2126C/V2,32,07/2025,PCS,255,431,,12/10/2025,
112586,R-12-2,TBN2204FM/V1,13,06/2025,PCS,255,255,,12/10/2025,
112587,R-12-2,TBN2208HC,31,07/2025,PCS,255,333,,12/10/2025,
112588,R-12-2,TBN407/V2,2G13,07/2025,PCS,255,367,,12/10/2025,
